CountryCode,Country,SeriesCode,MDG,Series,1990,Footnotes,Type,1991,Footnotes,Type,1992,Footnotes,Type,1993,Footnotes,Type,1994,Footnotes,Type,1995,Footnotes,Type,1996,Footnotes,Type,1997,Footnotes,Type,1998,Footnotes,Type,1999,Footnotes,Type,2000,Footnotes,Type,2001,Footnotes,Type,2002,Footnotes,Type,2003,Footnotes,Type,2004,Footnotes,Type,2005,Footnotes,Type,2006,Footnotes,Type,2007,Footnotes,Type,2008,Footnotes,Type,2009,Footnotes,Type,2010,Footnotes,Type,2011,Footnotes,Type,2012,Footnotes,Type,2013,Footnotes,Type,2014,Footnotes,Type,2015,Footnotes,Type,2016,Footnotes,Type,2017,Footnotes,Type
"4","Afghanistan","743","N","Primary completion rate, both sexes","","","","","","","","","","28.8","","C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""," "," "," ","","","","","","","","","","","","","","","","","","","","",""," "," "," "," "," "," "," "," "," "
"8","Albania","743","N","Primary completion rate, both sexes","","","","","","","","","","","","","","","","","","","85.6","","C","","","","","","","","","","94.4","","C","96.3","","C","","","","96.7","","C"," "," "," ","","","","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","","",""," "," "," "," "," "," "," "," "," "
"12","Algeria","743","N","Primary completion rate, both sexes","76.7","","C","75.3","","C","77.7","","C","76.8","","C","75.4","","C","76.3","","C","79.3","","C","79.9","","C","","","","79.6","","C","77.3","","C","83.7","","C","86.1","","C","88.3","","C","90.6","","C","92.9","","C","83.3","","C","93.4","","C"," "," "," ","89.0","","C","92.6","","C","95.5","","C","100.2","","C","105.5","","C","","",""," "," "," "," "," "," "," "," "," "
"16","American Samoa","743","N","Primary completion rate, both sexes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""," "," "," "," "," "," "," "," "," "
"20","Andorra","743","N","Primary completion rate, both sexes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","","",""," "," "," "," "," "," "," "," "," "
"24","Angola","743","N","Primary completion rate, both sexes","","","","34.2","","C","","","","","","","","","","","","","","","","","","","","","","","","","","",""," "," "," ","","","","","",""," "," "," ","","","","","","","","","","46.0","","C","45.5","","C","46.8","","C","54.3","","C","","","","","","","","",""," "," "," "," "," "," "," "," "," "
"660","Anguilla","743","N","Primary completion rate, both sexes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""," "," "," "," "," "," ","","",""," "," "," "," "," "," "," "," "," ","","","","","","","","","","","","","","","","","","","","","","","","","","",""," "," "," "," "," "," "," "," "," "
"28","Antigua and Barbuda","743","N","Primary completion rate, both sexes","","","","","","","96.7","","C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""," "," "," ","102.5","","C","95.5","","C","102.3","","C","99.7","","C","","","","","","","","",""," "," "," "," "," "," "," "," "," "
"32","Argentina","743","N","Primary completion rate, both sexes","","","","","","","","","","","","","98.5","","C","","","","93.6","","C","92.3","","C","100.5","","C","99.1","","C","99.0","","C","98.8","","C","102.9","","C","101.0","","C","99.8","","C","97.9","","C","100.0","","C","102.7","","C","105.8","","C","106.0","","C","107.3","","C","109.3","","C","110.2","","C","","","","","",""," "," "," "," "," "," "," "," "," "
"51","Armenia","743","N","Primary completion rate, both sexes","","","","","","","","","","","","","106.0","","C","","","","","","","95.5","","C","","","","","","","","","","","","","93.7","","C","89.4","","C","100.1","","C","92.1","","C","92.2","","C","98.6","","C","100.1","","C"," "," "," "," "," "," "," "," "," "," "," "," ","","","","","",""," "," "," "," "," "," "," "," "," "
"533","Aruba","743","N","Primary completion rate, both sexes","","","","","","","","","","","","","","","","","","","","","","","","","","","","101.6","","C","97.2","","C","94.3","","C","94.8","","C","90.2","","C","90.6","","C","88.2","","C","93.1","","C","95.6","","C","95.1","","C","96.3","","C","94.7","","C","","","","","","","","","","","",""," "," "," "," "," "," "," "," "," "
"36","Australia","743","N","Primary completion rate, both sexes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""," "," "," "," "," "," "," "," "," "
"40","Austria","743","N","Primary completion rate, both sexes","","","","","","","","","","","","","","","","","","","","","","","","","101.3","","C","101.3","","C","","","","","","","99.3","","C","99.9","","C","97.7","","C","97.8","","C","100.0","","C","102.5","","C","100.3","","C","98.9","","C","98.6","","C","97.2","","C","97.2","","C","98.3","","C","","",""," "," "," "," "," "," "," "," "," "
"31","Azerbaijan","743","N","Primary completion rate, both sexes","","","","","","","","","","95.8","","C","91.2","","C","89.8","","C","81.6","","C","99.0","","C","95.2","","C","92.2","","C","89.5","","C","95.2","","C","97.6","","C","92.7","","C","95.6","","C","93.4","","C","91.6","","C","98.1","","C","90.7","","C","91.8","","C","89.5","","C","92.8","","C","92.0","","C","","","","","",""," "," "," "," "," "," "," "," "," "
"44","Bahamas","743","N","Primary completion rate, both sexes","","","","","","","","","","","","","86.3","","C","","","","","","","","","","","","","82.3","","C","","","","","","","","","","","","","","","","107.1","","C","104.1","","C","105.5","","C","101.3","","C","100.0","","C","93.2","","C","","","","","","","","","","","",""," "," "," "," "," "," "," "," "," "
"48","Bahrain","743","N","Primary completion rate, both sexes","","","","103.0","","C","100.9","","C","99.7","","C","94.6","","C","93.9","","C","92.0","","C","","","","94.4","","C","99.1","","C"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","","",""," "," "," "," "," "," "," "," "," "
"50","Bangladesh","743","N","Primary completion rate, both sexes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.8","","C","","","","","","","57.5","","C","64.0","","C","66.5","","C","74.6","","C","","",""," "," "," ","","",""," "," "," "," "," "," "," "," "," "
"52","Barbados","743","N","Primary completion rate, both sexes","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.3","","C","99.1","","C","107.3","","C","103.9","","C","106.4","","C","97.0","","C","91.1","","C","93.9","","C","92.9","","C","96.1","","C","98.5","","C","99.8","","C","104.0","","C","","","","","","","","",""," "," "," "," "," "," "," "," "," "
"112","Belarus","743","N","Primary completion rate, both sexes","94.2","","C","93.6","","C","88.9","","C","95.1","","C","96.8","","C","94.2","","C","93.6","","C","93.6","","C","","","","96.2","","C","100.0","","C","104.7","","C","130.6","","C","102.0","","C","101.8","","C","97.9","","C","96.7","","C","95.3","","C","98.1","","C","104.8","","C","105.9","","C","106.9","","C","103.3","","C","99.8","","C","","",""," "," "," "," "," "," "," "," "," "
