CountryCode,Country,SeriesCode,MDG,Series,1990,Footnotes,Type,1991,Footnotes,Type,1992,Footnotes,Type,1993,Footnotes,Type,1994,Footnotes,Type,1995,Footnotes,Type,1996,Footnotes,Type,1997,Footnotes,Type,1998,Footnotes,Type,1999,Footnotes,Type,2000,Footnotes,Type,2001,Footnotes,Type,2002,Footnotes,Type,2003,Footnotes,Type,2004,Footnotes,Type,2005,Footnotes,Type,2006,Footnotes,Type,2007,Footnotes,Type,2008,Footnotes,Type,2009,Footnotes,Type,2010,Footnotes,Type,2011,Footnotes,Type,2012,Footnotes,Type,2013,Footnotes,Type,2014,Footnotes,Type,2015,Footnotes,Type,2016,Footnotes,Type,2017,Footnotes,Type
"4","Afghanistan","745","N","Primary completion rate, girls","","","","","","","","","","14.6","","C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""," "," "," ","","","","","","","","","","","","","","","","","","","","",""," "," "," "," "," "," "," "," "," "
"8","Albania","745","N","Primary completion rate, girls","","","","","","","","","","","","","","","","","","","85.7","","C","","","","","","","","","","95.0","","C","96.6","","C","","","","95.4","","C"," "," "," ","","","","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","","",""," "," "," "," "," "," "," "," "," "
"12","Algeria","745","N","Primary completion rate, girls","68.8","","C","69.4","","C","71.8","","C","71.1","","C","70.4","","C","72.1","","C","75.8","","C","77.8","","C","","","","78.2","","C","77.0","","C","83.3","","C","85.7","","C","87.6","","C","90.5","","C","92.3","","C","82.2","","C","94.1","","C"," "," "," ","90.0","","C","92.5","","C","95.3","","C","100.0","","C","105.4","","C","","",""," "," "," "," "," "," "," "," "," "
"16","American Samoa","745","N","Primary completion rate, girls","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""," "," "," "," "," "," "," "," "," "
"20","Andorra","745","N","Primary completion rate, girls","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","","",""," "," "," "," "," "," "," "," "," "
"24","Angola","745","N","Primary completion rate, girls","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""," "," "," ","","","","","",""," "," "," ","","","","","","","","","","40.9","","C","40.6","","C","40.1","","C","39.8","","C","","","","","","","","",""," "," "," "," "," "," "," "," "," "
"660","Anguilla","745","N","Primary completion rate, girls","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""," "," "," "," "," "," ","","",""," "," "," "," "," "," "," "," "," ","","","","","","","","","","","","","","","","","","","","","","","","","","",""," "," "," "," "," "," "," "," "," "
"28","Antigua and Barbuda","745","N","Primary completion rate, girls","","","","","","","90.0","","C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""," "," "," ","101.5","","C","95.6","","C","101.9","","C","95.8","","C","","","","","","","","",""," "," "," "," "," "," "," "," "," "
"32","Argentina","745","N","Primary completion rate, girls","","","","","","","","","","","","","","","","","","","95.4","","C","94.5","","C","102.4","","C","100.7","","C","100.8","","C","100.6","","C","105.5","","C","103.6","","C","102.1","","C","100.0","","C","102.2","","C","104.7","","C","108.1","","C","107.6","","C","108.3","","C","110.7","","C","111.2","","C","","","","","",""," "," "," "," "," "," "," "," "," "
"51","Armenia","745","N","Primary completion rate, girls","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.7","","C","91.5","","C","102.1","","C","96.0","","C","97.2","","C","104.3","","C","105.4","","C"," "," "," "," "," "," "," "," "," "," "," "," ","","","","","",""," "," "," "," "," "," "," "," "," "
"533","Aruba","745","N","Primary completion rate, girls","","","","","","","","","","","","","","","","","","","","","","","","","","","","102.3","","C","97.3","","C","100.1","","C","99.7","","C","88.1","","C","88.3","","C","88.4","","C","91.9","","C","97.8","","C","97.9","","C","94.0","","C","97.8","","C","","","","","","","","","","","",""," "," "," "," "," "," "," "," "," "
"36","Australia","745","N","Primary completion rate, girls","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""," "," "," "," "," "," "," "," "," "
"40","Austria","745","N","Primary completion rate, girls","","","","","","","","","","","","","","","","","","","","","","","","","101.2","","C","101.6","","C","","","","","","","98.9","","C","99.4","","C","97.1","","C","97.8","","C","100.1","","C","102.5","","C","99.5","","C","98.7","","C","98.3","","C","96.7","","C","98.0","","C","98.2","","C","","",""," "," "," "," "," "," "," "," "," "
"31","Azerbaijan","745","N","Primary completion rate, girls","","","","","","","","","","94.8","","C","89.2","","C","93.7","","C","85.4","","C","97.2","","C","94.7","","C","91.8","","C","85.5","","C","94.0","","C","101.0","","C","90.2","","C","94.9","","C","89.6","","C","90.9","","C","98.5","","C","89.7","","C","91.4","","C","89.0","","C","92.2","","C","91.6","","C","","","","","",""," "," "," "," "," "," "," "," "," "
"44","Bahamas","745","N","Primary completion rate, girls","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.3","","C","","","","","","","","","","","","","","","","107.9","","C","102.5","","C","103.9","","C","102.7","","C","101.9","","C","94.9","","C","","","","","","","","","","","",""," "," "," "," "," "," "," "," "," "
"48","Bahrain","745","N","Primary completion rate, girls","","","","105.0","","C","100.9","","C","98.9","","C","96.5","","C","96.7","","C","93.9","","C","","","","96.2","","C","98.6","","C"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","","",""," "," "," "," "," "," "," "," "," "
"50","Bangladesh","745","N","Primary completion rate, girls","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.4","","C","","","","","","","60.5","","C","67.1","","C","70.5","","C","79.8","","C","","",""," "," "," ","","",""," "," "," "," "," "," "," "," "," "
"52","Barbados","745","N","Primary completion rate, girls","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.7","","C","100.5","","C","111.1","","C","108.4","","C","110.9","","C","98.3","","C","95.7","","C","94.4","","C","96.8","","C","101.4","","C","104.5","","C","105.7","","C","106.7","","C","","","","","","","","",""," "," "," "," "," "," "," "," "," "
"112","Belarus","745","N","Primary completion rate, girls","","","","","","","","","","95.1","","C","95.5","","C","92.3","","C","92.3","","C","91.5","","C","","","","95.5","","C","99.6","","C","104.2","","C","130.0","","C","102.1","","C","100.0","","C","95.5","","C","94.9","","C","94.5","","C","97.9","","C","","","","","","","106.4","","C","103.1","","C","99.6","","C","","",""," "," "," "," "," "," "," "," "," "
"56","Belgium","745","N","Primary completion rate, girls","","","","82.0","","C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.9","","C","88.0","","C","88.7","","C","90.3","","C","92.3","","C"," "," "," ","91.7","","C","92.4","","C","","",""," "," "," "," "," "," "," "," "," "
"84","Belize","745","N","Primary completion rate, girls","","","","","","","93.5","","C","","","","","","","89.2","","C","95.1","","C","","","","","","","98.3","","C","98.4","","C","104.6","","C","","","","104.3","","E","103.7","","C","104.8","","C","103.4","","C","109.6","","C","103.5","","C","109.7","","C","106.5","","C","113.1","","C","118.0","","C","109.8","","C","","",""," "," "," "," "," "," "," "," "," "
